2021-07-22 23:59:33,718 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 139989157410560 | procn MainProcess | procd 13984
2021-07-23 00:00:22,436 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140570411718400 | procn MainProcess | procd 14160
2021-07-23 00:00:22,441 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140570420111104 | procn MainProcess | procd 14160
2021-07-23 00:03:01,039 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 139711635166976 | procn MainProcess | procd 14598
2021-07-23 00:03:01,041 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139711643559680 | procn MainProcess | procd 14598
2021-07-23 00:03:01,097 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 139711626774272 | procn MainProcess | procd 14598
2021-07-23 00:03:49,206 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140365358470912 | procn MainProcess | procd 14647
2021-07-23 00:03:49,210 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140365350078208 | procn MainProcess | procd 14647
2021-07-23 00:03:49,266 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 140365341685504 | procn MainProcess | procd 14647
2021-07-23 00:14:17,833 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140432680179456 | procn MainProcess | procd 16383
2021-07-23 00:14:17,835 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140432671786752 | procn MainProcess | procd 16383
2021-07-23 00:15:25,968 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140269934761728 | procn MainProcess | procd 16476
2021-07-23 00:15:25,972 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140269943154432 | procn MainProcess | procd 16476
2021-07-23 00:19:36,237 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140219638179584 | procn MainProcess | procd 16808
2021-07-23 00:19:36,239 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140219646572288 | procn MainProcess | procd 16808
2021-07-23 00:22:53,086 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139701251970816 | procn MainProcess | procd 17207
2021-07-23 00:22:53,093 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 139701243578112 | procn MainProcess | procd 17207
2021-07-23 00:24:09,179 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140490017638144 | procn MainProcess | procd 17305
2021-07-23 00:24:09,183 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140490009245440 | procn MainProcess | procd 17305
2021-07-23 00:24:13,270 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140167543314176 | procn MainProcess | procd 17315
2021-07-23 00:24:13,275 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140167465662208 | procn MainProcess | procd 17315
2021-07-23 00:24:24,064 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140516433323776 | procn MainProcess | procd 17344
2021-07-23 00:24:24,066 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140516424931072 | procn MainProcess | procd 17344
2021-07-23 00:25:31,652 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139675841099520 | procn MainProcess | procd 17611
2021-07-23 00:25:31,656 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 139675759015680 | procn MainProcess | procd 17611
2021-07-23 00:25:56,827 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139941058320128 | procn MainProcess | procd 17678
2021-07-23 00:25:56,835 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 139941049927424 | procn MainProcess | procd 17678
2021-07-23 00:26:01,805 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140670763480832 | procn MainProcess | procd 17704
2021-07-23 00:26:01,808 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140670755088128 | procn MainProcess | procd 17704
2021-07-23 00:26:06,316 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140266188474112 | procn MainProcess | procd 17720
2021-07-23 00:26:06,318 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140266180081408 | procn MainProcess | procd 17720
2021-07-23 00:26:19,002 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140247833925376 | procn MainProcess | procd 17762
2021-07-23 00:26:19,006 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140247825532672 | procn MainProcess | procd 17762
2021-07-23 00:29:26,440 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139698531297024 | procn MainProcess | procd 18244
2021-07-23 00:29:26,442 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 139698522904320 | procn MainProcess | procd 18244
2021-07-23 00:29:39,548 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139931837503232 | procn MainProcess | procd 18268
2021-07-23 00:29:39,553 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 139931829110528 | procn MainProcess | procd 18268
2021-07-23 00:29:39,628 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 139931820717824 | procn MainProcess | procd 18268
2021-07-23 00:31:05,426 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140670791087872 | procn MainProcess | procd 18466
2021-07-23 00:31:05,429 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 140670715033344 | procn MainProcess | procd 18466
2021-07-23 00:31:05,509 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 140670706640640 | procn MainProcess | procd 18466
2021-07-23 00:32:37,693 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139729706325760 | procn MainProcess | procd 18584
2021-07-23 00:32:37,713 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 139729697933056 | procn MainProcess | procd 18584
2021-07-23 00:32:38,107 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 139729689540352 | procn MainProcess | procd 18584
2021-07-23 01:11:45,817 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 139881048139520 | procn MainProcess | procd 24520
2021-07-23 01:11:45,818 --- [general] => INFO:20 (BASIC commands clear LOADED.) | thn basic_commands_thread | thd 139881039746816 | procn MainProcess | procd 24520
2021-07-23 01:11:46,287 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 139881031354112 | procn MainProcess | procd 24520
2021-07-23 01:23:41,956 --- [efc] => INFO:20 (BASIC COG join_leave_ LOADED.) | thn basic_cog_thread | thd 140206320023296 | procn MainProcess | procd 27451
2021-07-23 01:23:42,303 --- [task] => INFO:20 (BASIC TASK {task} LOADED.) | thn basic_task_thread | thd 140206303237888 | procn MainProcess | procd 27451
